"","gene_id","gene_short_name","gene_name","X4","chromosome","start","end","X8","X9","X10","X11","WT_mean_FPKM","WT_se_FPKM","Ref5_mean_FPKM","Ref5_se_FPKM","Ref2_mean_FPKM","Ref2_se_FPKM","Med5_mean_FPKM","Med5_se_FPKM","Ref5Med5_mean_FPKM","Ref5Med5_se_FPKM","Ref2Med5_mean_FPKM","Ref2Med5_se_FPKM"
"74","AT2G18150","AT2G18150","",1676,"Chr2",7892034,7893709,"Peroxidase superfamily protein;(source:Araport11)","","Peroxidase superfamily protein","",0.724,0.28,2.274,0.568,1.192,0.303,0.121,0.027,1.177,0.153,0.092,0.03
"75","AT2G18370","AT2G18370","",1337,"Chr2",7980532,7981868,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)","Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","",0.093,0.019,0.777,0.349,0.133,0.022,0.044,0.022,0.876,0.191,0.103,0.019
"76","AT2G18470","PERK4","proline-rich extensin-like receptor kinase 4",3679,"Chr2",8005003,8008681,"roline-rich extensin-like receptor kinase 4;(source:Araport11)","Proline-rich extensin-like receptor kinase 4. Functions at an early stage of ABA signalling inhibiting primary root cell elongation by perturbing Ca2+ homeostasis.","roline-rich extensin-like receptor kinase 4","AtPERK4, PERK4",0.439,0.022,1.173,0.255,0.402,0.077,0.381,0.105,1.333,0.111,0.44,0.069
"77","AT2G18980","AT2G18980","",2106,"Chr2",8233335,8235440,"Peroxidase superfamily protein;(source:Araport11)","","Peroxidase superfamily protein","",0.227,0.01,1.985,0.246,0.133,0.045,0.253,0.067,3.031,0.475,0.229,0.069
"78","AT2G19970","AT2G19970","",926,"Chr2",8623699,8624624,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11)","","CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein","",1.224,0.129,10.929,1.124,1.689,0.438,1.211,0.133,19.899,1.679,1.377,0.246
"79","AT2G19990","PR-1-LIKE","pathogenesis-related protein-1-like",832,"Chr2",8629857,8630688,"pathogenesis-related protein-1-like protein;(source:Araport11)","Encodes a PR-1-like protein homolog that is differentially expressed in resistant compared to susceptible cultivars by powdery mildew infection. The deduced amino acid sequence has 24 amino acids comprising the signal peptide and 140 amino acids of the mature peptide (15 kDa). Northern blot analysis showed accumulation of the corresponding mRNA 12 h after inoculation of resistant barley cultivars with Erysiphe graminis.  Though the Genbank record for the cDNA associated to this gene model is called 'PR-1', the sequence actually corresponds to PR-1-like.  Expression of this gene is not salicylic-acid responsive.","pathogenesis-related protein-1-like","PR-1-LIKE",0.727,0.175,2.421,0.248,0.745,0.165,0.897,0.177,6.391,0.743,0.309,0.112
"80","AT2G21100","AT2G21100","",1274,"Chr2",9048131,9049404,"Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11)","","Disease resistance-responsive (dirigent-like protein) family protein","",0.069,0.034,0.5,0.059,0.175,0.027,0.039,0.019,0.746,0.208,0.098,0.018
"81","AT2G28350","ARF10","auxin response factor 10",3069,"Chr2",12113889,12116957,"auxin response factor 10;(source:Araport11)","Involved in root cap cell differentiation.","auxin response factor 10","ARF10",8.598,0.334,11.512,0.334,6.541,0.544,7.539,0.302,12.175,0.386,8.264,0.417
"82","AT2G29330","TRI","tropinone reductase",1903,"Chr2",12594536,12596438,"tropinone reductase;(source:Araport11)","","tropinone reductase","TRI",0.056,0.028,0.292,0.016,0.162,0.061,0.031,0.031,0.437,0.047,0.093,0.072
"83","AT2G30210","LAC3","laccase 3",2486,"Chr2",12887446,12889931,"laccase 3;(source:Araport11)","putative laccase, a member of laccase family of genes (17 members in Arabidopsis).","laccase 3","LAC3",0.093,0.036,0.809,0.161,0.179,0.025,0.048,0.048,1.178,0.198,0.042,0.011
"84","AT2G30300","AT2G30300","",2031,"Chr2",12919401,12921431,"Major facilitator superfamily protein;(source:Araport11)","","Major facilitator superfamily protein","",0.035,0.024,0.235,0.032,0.095,0.005,0.061,0.02,0.282,0.112,0.059,0.034
"85","AT2G31180","MYB14","myb domain protein 14",1700,"Chr2",13286681,13288380,"myb domain protein 14;(source:Araport11)","Member of the R2R3 factor gene family.","myb domain protein 14","ATMYB14, MYB14, MYB14AT",0.263,0.044,0.893,0.09,0.222,0.036,0.172,0.117,0.657,0.023,0.288,0.102
"86","AT2G32530","CSLB03","cellulose synthase-like B3",4554,"Chr2",13809019,13813572,"cellulose synthase-like B3;(source:Araport11)","encodes a gene similar to cellulose synthase","cellulose synthase-like B3","ATCSLB03, ATCSLB3, CSLB03",17.782,0.921,22.625,1.066,18.469,0.745,11.892,0.217,15.533,1.043,12.77,0.454
"87","AT2G32610","CSLB01","cellulose synthase-like B1",3524,"Chr2",13836117,13839640,"cellulose synthase-like B1;(source:Araport11)","encodes a gene similar to cellulose synthase","cellulose synthase-like B1","ATCSLB01, ATCSLB1, CSLB01",0,0,0.286,0.045,0,0,0.007,0.007,0.205,0.028,0,0
"88","AT2G33590","CRL1","CCR(Cinnamoyl coA:NADP oxidoreductase)-like 1",2369,"Chr2",14224268,14226636,"NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)","Encodes a protein with homology to members of the dihydroflavonol-4-reductase (DFR) superfamily. The expression pattern of  AtCRL1 indicates that CRL1 has a role in embryogenesis and seed germination. AtCRL1 is induced by ABA, drought and heat, and is highly expressed in seeds. The mRNA is cell-to-cell mobile.","NAD(P)-binding Rossmann-fold superfamily protein","AtCRL1, CRL1",20.657,1.219,26.623,1.211,21.672,0.768,19.541,0.57,24.297,1.076,20.372,0.643
"89","AT2G34080","AT2G34080","",1678,"Chr2",14393181,14394858,"Cysteine proteinases superfamily protein;(source:Araport11)","","Cysteine proteinases superfamily protein","",0.993,0.211,2.421,0.203,1.985,0.286,0.64,0.02,2.028,0.312,1.109,0.067
"90","AT2G35060","KUP11","K  uptake permease 11",4066,"Chr2",14775041,14779106,"K+ uptake permease 11;(source:Araport11)","potassium transporter","K+ uptake permease 11","KUP11",18.06,0.806,25.581,1.967,22.115,0.804,17.171,0.742,26.245,1.315,21.36,0.862
"91","AT2G37130","AT2G37130","",2234,"Chr2",15597921,15600154,"Peroxidase superfamily protein;(source:Araport11)","","Peroxidase superfamily protein","",1.306,0.282,5.793,0.65,1.792,0.206,1.208,0.281,10.876,0.488,2.164,0.482
"92","AT2G37240","AT2G37240","",2001,"Chr2",15639773,15641773,"Thioredoxin superfamily protein;(source:Araport11)","","Thioredoxin superfamily protein","",59.911,0.712,77.241,1.591,64.027,3.743,57.851,0.732,71.728,4.933,64.169,1.561
"93","AT2G37360","ABCG2","ATP-binding cassette G2",2511,"Chr2",15673410,15675920,"ABC-2 type transporter family protein;(source:Araport11)","Belongs to a clade of five Arabidopsis thaliana ABCG half-transporters that are required for synthesis of an effective suberin barrier in roots and seed coats (ABCG2, ABCG6, and ABCG20) and for synthesis of an intact pollen wall (ABCG1 and ABCG16).","ABC-2 type transporter family protein","ABCG2",0.005,0.005,0.033,0.009,0,0,0,0,0.014,0.007,0.006,0.006
"94","AT2G38390","AT2G38390","",1993,"Chr2",16079679,16081671,"Peroxidase superfamily protein;(source:Araport11)","","Peroxidase superfamily protein","",0.297,0.065,2.051,0.317,0.691,0.178,0.375,0.228,2.966,0.399,0.046,0.023
"95","AT2G39050","EULS3","Euonymus lectin S3",2339,"Chr2",16303295,16305633,"hydroxyproline-rich glycoprotein family protein;(source:Araport11)","Encodes a nucleocytoplasmic lectin that is capable of binding carbohydrates. It is involved in ABA mediated stomatal movement and increased expression is correlated with increased resistance to Pseudomonas syringae.","hydroxyproline-rich glycoprotein family protein","ArathEULS3, EULS3",4.554,0.315,8.891,0.329,6.197,0.343,5.096,0.469,7.246,0.166,5.586,0.865
"96","AT2G39310","JAL22","jacalin-related lectin 22",2812,"Chr2",16414034,16416845,"jacalin-related lectin 22;(source:Araport11)","","jacalin-related lectin 22","JAL22",10.85,1.274,45.557,2.714,12.979,1.579,8.326,1.458,30.986,0.423,12.835,1.073
"97","AT2G39370","MAKR4","MEMBRANE-ASSOCIATED KINASE REGULATOR 4",1413,"Chr2",16443996,16445408,"membrane-associated kinase regulator;(source:Araport11)","Encodes a member of the MAKR (MEMBRANE-ASSOCIATED KINASE REGULATOR)  gene family. MAKRs have putative kinase interacting motifs and membrane localization signals. Known members include: AT5G26230 (MAKR1), AT1G64080 (MAKR2), AT2G37380 (MAKR3), AT2G39370 (MAKR4), AT5G52870 (MAKR5) and AT5G52900 (MAKR6).","","MAKR4",0.011,0.011,0.801,0.141,0.038,0.023,0.038,0.022,0.984,0.144,0.1,0.022
"98","AT2G39700","EXPA4","expansin A4",1915,"Chr2",16543832,16545746,"expansin A4;(source:Araport11)","putative expansin. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.","expansin A4","ATEXP4, ATEXPA4, ATHEXP ALPHA 1.6, EXPA4, XPA4",39.177,2.855,54.342,3.904,33.45,2.335,50.03,2.257,64.426,0.52,43.709,0.747
"99","AT2G39710","AT2G39710","",1654,"Chr2",16561788,16563441,"Eukaryotic aspartyl protease family protein;(source:Araport11)","Encodes a Cysteine-rich peptide (CRP) family protein","Eukaryotic aspartyl protease family protein","",5.089,0.344,7.311,0.175,6.506,0.537,5.031,0.14,7.906,0.527,4.486,0.415
"100","AT2G39800","P5CS1","delta1-pyrroline-5-carboxylate synthase 1",5248,"Chr2",16598072,16603319,"delta1-pyrroline-5-carboxylate synthase 1;(source:Araport11)","encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. encodes a delta1-pyrroline-5-carboxylate synthase that catalyzes the rate-limiting enzyme in the biosynthesis of proline. Gene is expressed in reproductive organs and tissues under non-stress conditions but in the whole plant under water-limiting condition. Expression is also induced by abscisic acid and salt stress in a light-dependent manner. P5CS1 appears to be involved in salt stress responses related to proline accumulation, including protection from reactive oxidative species. P5CS1 appears to be present in different cells and/or different subcellular locations from P5CS2 in a tissue-dependent manner.","delta1-pyrroline-5-carboxylate synthase 1","ATP5CS, P5CS1",95.654,15.551,250.542,10.611,88.01,7.43,83.906,26.283,148.017,14.881,113.673,7.54
"101","AT2G39980","AT2G39980","",2510,"Chr2",16687673,16690182,"HXXXD-type acyl-transferase family protein;(source:Araport11)","","HXXXD-type acyl-transferase family protein","",4.56,0.591,8.208,0.365,4.996,0.477,6.005,0.475,10.762,1.064,5.809,0.248
"102","AT2G40130","AT2G40130","",3571,"Chr2",16765709,16769279,"Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)","Encodes a member of an eight-gene family (SMAX1 and SMAX1-like) that has weak similarity to AtHSP101, a ClpB chaperonin required for thermotolerance.","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","SMXL8",3.066,0.026,5.209,0.357,3.153,0.357,4.016,0.105,7.015,0.246,3.341,0.143
"103","AT2G40900","UMAMIT11","Usually multiple acids move in and out Transporters 11",2716,"Chr2",17063098,17065813,"nodulin MtN21 /EamA-like transporter family protein;(source:Araport11)","Encodes a plasma membrane-localized amino acid transporter likely involved in amino acid export in the developing seed.","nodulin MtN21 /EamA-like transporter family protein","UMAMIT11",7.837,0.459,10.668,0.715,5.642,0.266,8.987,0.517,12.328,0.484,7.425,0.117
"104","AT2G41040","AT2G41040","",1896,"Chr2",17121327,17123222,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)","","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","",21.477,0.526,27.581,1.066,22.733,2.089,16.868,0.689,23.568,0.964,14.902,0.447
"105","AT2G41190","AT2G41190","",3281,"Chr2",17167279,17170559,"Transmembrane amino acid transporter family protein;(source:Araport11)","","Transmembrane amino acid transporter family protein","",6.36,1.578,11.764,1.318,2.523,0.362,4.423,0.705,11.403,2.31,3.689,0.331
"106","AT2G41230","ORS1","ORGAN SIZE RELATED 1",950,"Chr2",17194748,17195697,"ORGAN SIZE-like protein;(source:Araport11)","Encodes an ER-localized plant hormone-responsive gene and appears to act redundantly with ARGOS and ARL during organ growth. Over-expression modifies plant sensitivity to ethylene, leading to improved drought tolerance.","","ARL2, OSR1",0.034,0.017,0.381,0.056,0.129,0.042,0.022,0.022,0.22,0.077,0.195,0.109
"107","AT2G41480","AT2G41480","",1832,"Chr2",17296894,17298725,"peroxidase superfamily protein;(source:Araport11)","Encodes a cationic cell-wall-bound peroxidase homolog that is involved in the lignification of cell walls.","Peroxidase superfamily protein","AtPRX25, PRX25",0.632,0.019,1.311,0.135,0.268,0.082,0.247,0.04,0.702,0.075,0.203,0.027
"108","AT2G41510","CKX1","cytokinin oxidase/dehydrogenase 1",2943,"Chr2",17314412,17317354,"cytokinin oxidase/dehydrogenase 1;(source:Araport11)","It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins.","cytokinin oxidase/dehydrogenase 1","ATCKX1, CKX1",1.806,0.164,4.161,0.389,1.242,0.027,2.023,0.343,7.682,0.502,2.553,0.065
"109","AT2G41850","PGAZAT","polygalacturonase abscission zone A. thaliana",2588,"Chr2",17461655,17464242,"polygalacturonase ADPG2-like protein;(source:Araport11)","ADPG2.","polygalacturonase abscission zone A. thaliana","ADPG2, PGAZAT",0,0,0.373,0.116,0.007,0.007,0,0,0.491,0.043,0.018,0.018
"110","AT2G43860","AT2G43860","",1709,"Chr2",18162720,18164428,"Pectin lyase-like superfamily protein;(source:Araport11)","","Pectin lyase-like superfamily protein","",0,0,0.122,0.029,0,0,0,0,0.199,0.012,0,0
"111","AT2G46750","GulLO2","L -gulono-1,4-lactone ( L -GulL) oxidase 2",3031,"Chr2",19207991,19211021,"D-arabinono-1,4-lactone oxidase family protein;(source:Araport11)","Encodes a homolog of rat L-gulono-1,4-lactone (L-GulL) oxidase that is involved in the biosynthesis of L-ascorbic acid.","D-arabinono-1,4-lactone oxidase family protein","AtGulLO2, GulLO2",0.033,0.023,0.515,0.04,0.016,0.016,0.029,0.019,0.547,0.062,0.118,0.017
"112","AT2G47860","SETH6","",2627,"Chr2",19599686,19602312,"Phototropic-responsive NPH3 family protein;(source:Araport11)","","Phototropic-responsive NPH3 family protein","SETH6",1.621,0.084,3.156,0.276,1.617,0.069,1.853,0.214,3.224,0.246,1.875,0.218
"113","AT2G48130","AT2G48130","",3601,"Chr2",19682456,19686056,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)","Encodes a plasma membrane-localized glycosylphosphatidylinositol-anchored lipid transfer protein expressed in root endodermis and seed coats that is involved in very long chain fatty acid (and their derivatives) transport.","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","LTPG15",0.068,0.034,0.567,0.033,0.158,0.08,0.04,0.02,0.631,0.135,0.206,0.031
"114","AT3G04370","PDLP4","plasmodesmata-located protein 4",1930,"Chr3",1159409,1161338,"plasmodesmata-located protein 4;(source:Araport11)","Encodes a plasmodesmal protein that may be involved in the intercellular movement of molecules through the plasmodesmata. The protein has two DUF26 domains and a single transmembrane domain.","plasmodesmata-located protein 4","PDLP4",0.045,0.011,0.348,0.073,0.058,0.024,0.012,0.012,0.398,0.167,0.039,0.022
"115","AT3G04570","AHL19","AT-hook motif nuclear-localized protein 19",1706,"Chr3",1230746,1232451,"AT-hook motif nuclear-localized protein 19;(source:Araport11)","","AT-hook motif nuclear-localized protein 19","AHL19",0.01,0.01,0.171,0.053,0.031,0.02,0,0,0.257,0.05,0.022,0.022
"116","AT3G06370","NHX4","sodium hydrogen exchanger 4",4128,"Chr3",1929946,1934073,"sodium hydrogen exchanger 4;(source:Araport11)","member of Sodium proton exchanger family","sodium hydrogen exchanger 4","ATNHX4, NHX4",2.594,0.137,3.539,0.182,1.515,0.139,2.78,0.079,4,0.115,2.309,0.099
"117","AT3G07620","AT3G07620","",1794,"Chr3",2433222,2435015,"glycosyltransferase;(source:Araport11)","","Exostosin family protein","",0.054,0.026,0.635,0.071,0.009,0.009,0.022,0.011,0.584,0.089,0.051,0.009
"118","AT3G09260","PYK10","",3305,"Chr3",2840477,2843781,"Glycosyl hydrolase superfamily protein;(source:Araport11)","Encodes beta-glucosidase.The major constituent of ER bodies. One of the most abundant proteins in Arabidopsis seedlings. Exist in an soluble (inactive) and non-soluble (active) form, most probably formed in a polymerization process. Involved in the mutualistic interaction between Arabidopsis and the endophytic fungus Piriformospora indica.","Glycosyl hydrolase superfamily protein","BGLU23, LEB, PSR3.1, PYK10",70.889,9.54,212.084,8.73,63.75,9.176,44.415,8.371,227.043,10.983,93.019,4.496
"119","AT3G10450","SCPL7","serine carboxypeptidase-like 7",3070,"Chr3",3249513,3252582,"serine carboxypeptidase-like 7;(source:Araport11)","","serine carboxypeptidase-like 7","SCPL7",6.512,0.44,9.607,0.588,6.245,0.612,7.629,0.848,10.746,0.278,6.766,0.149
"120","AT3G11690","AT3G11690","",1794,"Chr3",3694956,3696749,"hypothetical protein;(source:Araport11)","","","",5.863,0.22,8.26,1.078,4.783,0.278,5.594,0.142,8.063,0.066,6.463,0.155
"121","AT3G13980","AT3G13980","",1367,"Chr3",4618939,4620305,"SKI/DACH domain protein;(source:Araport11)","","","BG4",7.416,0.224,10.192,0.111,5.079,0.619,8.373,0.99,16.185,1.384,9.462,0.224
"122","AT3G14590","NTMC2T6.2","",3798,"Chr3",4904270,4908067,"Calcium-dependent lipid-binding (CaLB domain) family protein;(source:Araport11)","","Calcium-dependent lipid-binding (CaLB domain) family protein","NTMC2T6.2, NTMC2TYPE6.2",0.627,0.039,1.326,0.06,0.602,0.089,0.541,0.048,1.071,0.11,0.814,0.016
"123","AT3G15540","IAA19","indole-3-acetic acid inducible 19",1695,"Chr3",5264001,5265695,"indole-3-acetic acid inducible 19;(source:Araport11)","Primary auxin-responsive gene. Involved in the regulation stamen filaments development.","indole-3-acetic acid inducible 19","IAA19, MSG2",6.754,0.306,13.862,1.019,4.308,0.171,7.441,0.417,19.323,2.25,8.398,0.304
"124","AT3G16420","PBP1","PYK10-binding protein 1",1743,"Chr3",5579290,5581032,"PYK10-binding protein 1;(source:Araport11)","The PBP1(PYK10-binding protein 1) assists the PYK10 (beta-glucosidase complex) in its activity and may act like a molecular  chaperone that facilitates the correct polymerization of PYK10, when tissues are damaged and subcellular structures are destroyed by pests. The mRNA is cell-to-cell mobile.","PYK10-binding protein 1","JAL30, PBP1, PBPI",93.842,13.603,140.96,12.558,85.993,12.78,64.858,6.209,157.951,5.661,89.431,4.728
"125","AT3G16430","JAL31","jacalin-related lectin 31",1691,"Chr3",5581568,5583258,"jacalin-related lectin 31;(source:Araport11)","Encodes a protein that increases the beta-glucosidase activities of three scopolin glucosidases in vitro.","jacalin-related lectin 31","JAL31, PBPII",0.663,0.066,2.961,0.203,0.755,0.015,0.269,0.061,2.955,0.187,0.953,0.159
"126","AT3G16440","MLP-300B","myrosinase-binding protein-like protein-300B",1927,"Chr3",5585872,5587798,"myrosinase-binding protein-like protein-300B;(source:Araport11)","myrosinase-binding protein-like protein (AtMLP-300B) mRNA,","myrosinase-binding protein-like protein-300B","ATMLP-300B, MEE36, MLP-300B",0,0,0.172,0.034,0.011,0.011,0,0,0.393,0.027,0,0
"127","AT3G17090","AT3G17090","",3315,"Chr3",5826586,5829900,"Protein phosphatase 2C family protein;(source:Araport11)","","Protein phosphatase 2C family protein","",30.08,0.741,36.929,1.014,30.81,1.041,31.23,0.566,37.753,0.932,30.11,0.918
"128","AT3G17800","AT3G17800","",2042,"Chr3",6091110,6093151,"alanine-tRNA ligase, putative (DUF760);(source:Araport11)","mRNA level of the MEB5.2 gene (At3g17800) remains unchanged after cutting the inflorescence stem","Protein of unknown function (DUF760)","",82.931,5.005,111.814,7.323,86.673,6.854,73.053,2.605,96.426,4.76,72.887,4.174
"129","AT3G18200","UMAMIT4","Usually multiple acids move in and out Transporters 4",1631,"Chr3",6234509,6236139,"nodulin MtN21 /EamA-like transporter family protein;(source:Araport11)","nodulin MtN21-like transporter family protein","nodulin MtN21 /EamA-like transporter family protein","UMAMIT4",0.174,0.058,0.772,0.151,0.04,0.021,0.023,0.012,1.363,0.131,0.089,0.042
"130","AT3G20100","CYP705A19","cytochrome P450, family 705, subfamily A, polypeptide 19",2076,"Chr3",7018826,7020901,"cytochrome P450, family 705, subfamily A, polypeptide 19;(source:Araport11)","member of CYP705A The mRNA is cell-to-cell mobile.","cytochrome P450, family 705, subfamily A, polypeptide 19","CYP705A19",7.618,0.46,16.578,1.214,6.098,0.753,7.513,0.299,18.605,1.832,8.464,0.333
"131","AT3G20370","AT3G20370","",2019,"Chr3",7105371,7107389,"TRAF-like family protein;(source:Araport11)","","TRAF-like family protein","",4.863,1.263,13.011,0.566,5.259,0.869,3.63,0.613,14.408,1.039,6.655,0.732
"132","AT3G20830","UCNL","UNICORN-like",1762,"Chr3",7284681,7286442,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein;(source:Araport11)","","AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein","AGC2-4, UCNL",3.229,0.093,5.251,0.273,3.096,0.138,3.788,0.226,5.285,0.145,3.77,0.36
"133","AT3G21710","AT3G21710","",1579,"Chr3",7648316,7649894,"transmembrane protein;(source:Araport11)","","","VUP1",0.241,0.1,0.951,0.133,0.407,0.119,0.288,0.034,1.702,0.317,0.666,0.151
"134","AT3G21770","AT3G21770","",1564,"Chr3",7673276,7674839,"Peroxidase superfamily protein;(source:Araport11)","","Peroxidase superfamily protein","",2.82,0.245,4.497,0.497,3.407,0.364,3.975,0.574,8.694,0.667,3.74,0.272
"135","AT3G21890","BBX31","B-box domain protein 31",1101,"Chr3",7708833,7709933,"B-box type zinc finger family protein;(source:Araport11)","","B-box type zinc finger family protein","BBX31, miP1a",6.232,0.72,10.869,2.356,5.103,0.376,5.374,0.475,8.923,0.576,7.179,0.058
"136","AT3G22360","AOX1B","alternative oxidase 1B",1480,"Chr3",7904097,7905576,"alternative oxidase 1B;(source:Araport11)","encodes an alternative oxidase whose expression is limited to flowers and floral buds.","alternative oxidase 1B","AOX1B",0,0,0.07,0.028,0,0,0,0,0.183,0.046,0,0
"137","AT3G23635","RTFL13","ROTUNDIFOLIA like 13",712,"Chr3",8497679,8498390,"ROTUNDIFOLIA like 13;(source:Araport11)","","ROTUNDIFOLIA like 13","RTFL13",0,0,0,0,0,0,0,0,0,0,0,0
"138","AT3G24240","AT3G24240","",4216,"Chr3",8780238,8784453,"Leucine-rich repeat receptor-like protein kinase family protein;(source:Araport11)","RGFR1 is a leucine-­rich repeat receptor kinase that, together with RGFR2 and RGFR3, binds ROOT GROWTH FACTORS and is required for establishing the gradient of PLETHORA1 and PLETHORA2 essential for proper root growth and development.","Leucine-rich repeat receptor-like protein kinase family protein","RGFR1, RGI1",0.003,0.003,0.076,0.023,0.013,0.007,0.007,0.007,0.1,0.047,0.004,0.004
"139","AT3G24750","AT3G24750","",1806,"Chr3",9035980,9037785,"hypothetical protein;(source:Araport11)","Encodes a member of the LAZY gene family that is expressed in the hypocotyl and the root","","LAZY5",1.684,0.15,9.344,1.926,2.383,0.613,0.813,0.111,3.669,1.033,0.522,0.137
"140","AT3G25190","AT3G25190","",1469,"Chr3",9174398,9175866,"Vacuolar iron transporter (VIT) family protein;(source:Araport11)","The gene encodes nodulin-like21 whose transcript abundance was repressed under conditions of Fe-deficient growth.","Vacuolar iron transporter (VIT) family protein","AtVTL5, VTL5",5.187,0.066,7.887,0.62,3.214,0.29,4.753,1.049,8.806,0.846,6.1,0.037
"141","AT3G26280","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4",2018,"Chr3",9630128,9632145,"cytochrome P450, family 71, subfamily B, polypeptide 4;(source:Araport11)","cytochrome P450 monooxygenase","cytochrome P450, family 71, subfamily B, polypeptide 4","CYP71B4",18.558,1.043,23.31,1.383,17.122,0.827,13.726,0.464,17.96,0.92,14.526,0.426
"142","AT3G26460","AT3G26460","",976,"Chr3",9683682,9684657,"Polyketide cyclase/dehydrase and lipid transport superfamily protein;(source:Araport11)","","Polyketide cyclase/dehydrase and lipid transport superfamily protein","",1.943,0.148,5.687,1.444,1.129,0.104,0.998,0.223,3.804,0.556,0.978,0.161
"143","AT3G27025","AT3G27025","",2131,"Chr3",9969551,9971681,"hypothetical protein;(source:Araport11)","Encodes a member of the LAZY gene family that is expressed in the shoot apex.","","LAZY6",1.417,0.144,2.491,0.401,0.496,0.05,0.628,0.045,1.708,0.145,0.754,0.122
"144","AT3G29630","AT3G29630","",1674,"Chr3",11447002,11448675,"UDP-Glycosyltransferase superfamily protein;(source:Araport11)","","UDP-Glycosyltransferase superfamily protein","",0.008,0.008,0.172,0.061,0.008,0.008,0,0,0.106,0.028,0.047,0.025
"145","AT3G32980","AT3G32980","",4028,"Chr3",13526071,13530098,"Peroxidase superfamily protein;(source:Araport11)","","Peroxidase superfamily protein","",3.292,0.076,11.449,1.946,2.673,0.262,2.546,0.389,14.927,2.137,3.708,0.086
"146","AT3G42800","AT3G42800","",1806,"Chr3",14905230,14907035,"AF-like protein;(source:Araport11)","","","",0.783,0.089,1.45,0.071,0.603,0.17,0.6,0.096,1.641,0.15,0.864,0.072
"147","AT3G44100","AT3G44100","",1602,"Chr3",15865933,15867534,"MD-2-related lipid recognition domain-containing protein;(source:Araport11)","","MD-2-related lipid recognition domain-containing protein","",81.611,5.285,114.635,2.662,93.808,8.739,68.505,0.712,90.816,6.06,77.982,5.242
"148","AT3G44540","FAR4","fatty acid reductase 4",4605,"Chr3",16123426,16128030,"fatty acid reductase 4;(source:Araport11)","Encodes a member of the eight-member gene family encoding alcohol-forming fatty acyl-CoA reductases (FARs) identified in Arabidopsis thaliana.  Three of the FARs, FAR1 (At5g22500), FAR4 (At3g44540) and FAR5 (At3g44550), are shown to generate the fatty alcohols found in root, seed coat, and wound-induced leaf tissue. The mRNA is cell-to-cell mobile.","fatty acid reductase 4","FAR4",0.077,0.008,0.374,0.105,0.058,0.023,0.036,0.007,0.771,0.07,0.036,0.018
"149","AT3G45070","AT3G45070","",1211,"Chr3",16486274,16487484,"P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)","Encodes a sulfotransferase with sulfating activity toward flavonoids.","P-loop containing nucleoside triphosphate hydrolases superfamily protein","AtSULT202B1, SULT202B1",0.241,0.008,0.663,0.181,0.245,0.087,0.071,0.016,0.358,0.08,0.122,0.003
"150","AT3G45210","AT3G45210","",1486,"Chr3",16556684,16558169,"transcription initiation factor TFIID subunit (Protein of unknown function, DUF584);(source:Araport11)","","Protein of unknown function, DUF584","",31.997,0.766,40.534,2.015,32.632,0.733,33.44,0.686,44.315,2.913,33.608,0.692
